日期,開盤,最高,最低,收盤,漲跌,漲跌百分比,振幅,張數,筆數,均張,億元,外資,投信,自營,合計,外資持股比
2020/4/14,281,285.5,280,285,6.5,2.33,1.97,"50,197","22,214",2.3,142.7,"15,372",322,945,"16,639",75.8
2020/4/13,278.5,281.5,278.5,278.5,-1,-0.36,1.07,"22,197","12,809",1.7,62,"-5,653",39,"-1,194","-6,807",75.8
2020/4/10,280,282,279,279.5,-3.5,-1.24,1.06,"28,207","15,833",1.8,78.9,"-3,792",-542,493,"-3,841",75.8
2020/4/9,287.5,288,282.5,283,-2,-0.7,1.93,"29,276","15,271",1.9,83.5,"4,812",-123,-188,"4,501",75.8
2020/4/8,285,285.5,283,285,2,0.71,0.88,"38,699","19,126",2,110.2,"8,738","1,213","-1,109","8,842",75.8
2020/4/7,283.5,284,280.5,283,7.5,2.72,1.27,"48,887","24,281",2,138.2,"21,623",205,-254,"21,574",75.8
2020/4/6,273,275.5,270,275.5,4,1.47,2.03,"59,713","19,971",3,163.2,"4,555",-558,"1,389","5,386",75.7
2020/4/1,276.5,276.5,271.5,271.5,-2.5,-0.91,1.82,"47,572","19,580",2.4,130.2,"2,247",661,"-1,033","1,876",75.7
2020/3/31,273,274,269.5,274,6.5,2.43,1.68,"53,902","20,343",2.6,147.1,"9,587",208,"-1,587","8,208",75.7
2020/3/30,263.5,269,262.5,267.5,-5.5,-2.01,2.38,"53,404","27,779",1.9,142.1,"-11,924",-731,-12,"-12,667",75.6
2020/3/27,284,286,273,273,-7,-2.5,4.64,"69,320","36,025",1.9,193.2,"-5,230",-452,"-2,113","-7,795",75.7
2020/3/26,279.5,280,275.5,280,3,1.08,1.62,"54,190","27,648",2,151.1,"20,210",-11,-694,"19,505",75.7
2020/3/25,276.5,280,274,277,9.5,3.55,2.24,"80,514","40,932",2,223.7,"11,871",54,"-3,188","8,737",75.6
2020/3/24,268,274,266,267.5,12.5,4.9,3.14,"82,378","41,077",2,222.1,"17,391",-14,-404,"16,973",75.6
2020/3/23,257,262.5,252,255,-15,-5.56,3.89,"76,964","41,621",1.8,198.5,"-15,773",716,"-1,329","-16,386",75.5
2020/3/20,258.5,270,256,270,22,8.87,5.65,"159,180","69,829",2.3,421.1,"-14,569","1,587","-2,250","-15,232",75.6
2020/3/19,252,253,235.5,248,-9.5,-3.69,6.8,"160,812","77,302",2.1,395.6,"-28,657","1,414","-4,529","-31,772",75.6
2020/3/18,269.5,272.5,260,260,-8,-2.99,4.66,"118,621","53,985",2.2,315.6,"-32,425",502,"-3,879","-35,802",75.8
2020/3/12,265,276.5,265,268,-8.5,-3.07,4.16,"122,410","57,123",2.1,329.4,"-37,528",458,-214,"-37,284",75.9
